,body_bytes_sent,httpcode_200,httpcode_302,httpcode_403,httpcode_404,httpcode_500,httpcode_total_200,httpcode_total_302,httpcode_total_403,httpcode_total_404,httpcode_total_500,is_good,request_time,status,upstream_response_time
88,35114,623,42,112,46,80,623,42,112,46,80,1,0.992,200,0.992
89,35114,575,34,80,45,73,575,34,80,45,73,1,0.992,500,0.875
90,35114,588,41,69,39,87,588,41,69,39,87,1,0.875,500,0.992
91,35114,567,40,75,38,87,567,40,75,38,87,1,0.875,200,0.992
92,35114,597,34,96,43,77,597,34,96,43,77,1,0.992,200,0.875
93,152,549,50,73,44,70,549,50,73,44,70,1,0.875,200,0.875
94,152,577,50,99,43,69,577,50,99,43,69,1,0.875,200,0.875
95,35114,568,40,75,38,87,568,40,75,38,87,1,0.992,200,0.992
96,35114,579,63,93,47,84,579,63,93,47,84,1,0.875,500,0.992
97,35114,578,50,99,43,69,578,50,99,43,69,1,0.992,200,0.992
98,35114,575,34,80,46,73,575,34,80,46,73,1,0.875,404,0.875
99,152,632,35,100,49,83,632,35,100,49,83,1,0.992,403,0.992
100,35114,632,35,100,49,84,632,35,100,49,84,1,0.875,500,0.875
101,35114,633,35,100,49,84,633,35,100,49,84,1,0.875,200,0.875
102,35114,597,34,96,43,78,597,34,96,43,78,1,0.875,500,0.992
103,152,569,40,75,38,87,569,40,75,38,87,1,0.992,200,0.992
104,35114,617,41,92,40,71,617,41,92,40,71,1,0.992,200,0.992
105,152,579,50,99,43,69,579,50,99,43,69,1,0.875,200,0.992
106,35114,579,63,94,47,84,579,63,94,47,84,1,0.875,403,0.875
107,152,580,50,99,43,69,580,50,99,43,69,1,0.992,200,0.992
108,35114,550,50,73,44,70,550,50,73,44,70,1,0.992,200,0.875
109,35114,580,63,94,47,84,580,63,94,47,84,1,0.992,200,0.992
110,35114,591,38,79,40,82,591,38,79,40,82,1,0.992,200,0.875
111,35114,624,42,112,46,80,624,42,112,46,80,1,0.875,200,0.992
112,152,574,52,79,31,96,574,52,79,31,96,1,0.992,403,0.992
113,152,576,34,80,46,73,576,34,80,46,73,1,0.992,200,0.992
114,152,588,41,69,39,88,588,41,69,39,88,1,0.875,500,0.992
115,35114,580,64,94,47,84,580,64,94,47,84,1,0.992,302,0.992
116,35114,625,42,112,46,80,625,42,112,46,80,1,0.992,200,0.875
117,35114,634,35,100,49,84,634,35,100,49,84,1,0.875,200,0.992
118,35114,551,50,73,44,70,551,50,73,44,70,1,0.992,200,0.992
119,35114,618,41,92,40,71,618,41,92,40,71,1,0.992,200,0.875
120,35114,592,38,79,40,82,592,38,79,40,82,1,0.992,200,0.992
121,152,552,50,73,44,70,552,50,73,44,70,1,0.992,200,0.875
122,152,581,64,94,47,84,581,64,94,47,84,1,0.875,200,0.875
123,35114,581,50,99,43,69,581,50,99,43,69,1,0.875,200,0.875
124,35114,569,40,76,38,87,569,40,76,38,87,1,0.992,403,0.875
125,152,589,41,69,39,88,589,41,69,39,88,1,0.992,200,0.875
126,35114,625,42,112,46,81,625,42,112,46,81,1,0.992,500,0.992
127,35114,626,42,112,46,81,626,42,112,46,81,1,0.875,200,0.875
128,152,576,34,80,47,73,576,34,80,47,73,1,0.875,404,0.992
129,152,590,41,69,39,88,590,41,69,39,88,1,0.875,200,0.992
130,152,581,64,95,47,84,581,64,95,47,84,1,0.992,403,0.992
131,35114,582,50,99,43,69,582,50,99,43,69,1,0.875,200,0.992
132,152,627,42,112,46,81,627,42,112,46,81,1,0.875,200,0.992
133,152,618,41,92,40,72,618,41,92,40,72,1,0.875,500,0.992
134,35114,553,50,73,44,70,553,50,73,44,70,1,0.992,200,0.875
135,152,581,64,96,47,84,581,64,96,47,84,1,0.875,403,0.992
136,152,582,64,96,47,84,582,64,96,47,84,1,0.875,200,0.992
137,35114,576,34,81,47,73,576,34,81,47,73,1,0.875,403,0.875
138,152,576,34,81,47,74,576,34,81,47,74,1,0.992,500,0.875
139,35114,591,41,69,39,88,591,41,69,39,88,1,0.875,200,0.875
140,152,628,42,112,46,81,628,42,112,46,81,1,0.992,200,0.875
141,35114,570,40,76,38,87,570,40,76,38,87,1,0.875,200,0.992
142,35114,582,64,97,47,84,582,64,97,47,84,1,0.992,403,0.992
143,35114,597,34,96,43,79,597,34,96,43,79,1,0.875,500,0.875
144,35114,574,52,80,31,96,574,52,80,31,96,1,0.992,403,0.875
145,152,571,40,76,38,87,571,40,76,38,87,1,0.992,200,0.875
146,152,577,34,81,47,74,577,34,81,47,74,1,0.992,200,0.875
147,152,629,42,112,46,81,629,42,112,46,81,1,0.992,200,0.992
148,152,635,35,100,49,84,635,35,100,49,84,1,0.992,200,0.992
149,152,572,40,76,38,87,572,40,76,38,87,1,0.992,200,0.875
150,152,598,34,96,43,79,598,34,96,43,79,1,0.875,200,0.992
151,152,592,38,80,40,82,592,38,80,40,82,1,0.992,403,0.992
152,152,636,35,100,49,84,636,35,100,49,84,1,0.875,200,0.992
153,152,629,42,112,46,82,629,42,112,46,82,1,0.992,500,0.875
154,35114,637,35,100,49,84,637,35,100,49,84,1,0.992,200,0.992
155,152,619,41,92,40,72,619,41,92,40,72,1,0.875,200,0.992
156,152,620,41,92,40,72,620,41,92,40,72,1,0.992,200,0.875
157,35114,578,34,81,47,74,578,34,81,47,74,1,0.992,200,0.875
158,152,583,64,97,47,84,583,64,97,47,84,1,0.875,200,0.992
159,152,638,35,100,49,84,638,35,100,49,84,1,0.992,200,0.875
160,152,584,64,97,47,84,584,64,97,47,84,1,0.875,200,0.875
161,35114,554,50,73,44,70,554,50,73,44,70,1,0.875,200,0.992
162,152,639,35,100,49,84,639,35,100,49,84,1,0.875,200,0.875
163,152,585,64,97,47,84,585,64,97,47,84,1,0.875,200,0.992
164,35114,573,40,76,38,87,573,40,76,38,87,1,0.875,200,0.875
165,35114,575,52,80,31,96,575,52,80,31,96,1,0.875,200,0.875
166,35114,621,41,92,40,72,621,41,92,40,72,1,0.992,200,0.875
167,35114,575,52,81,31,96,575,52,81,31,96,1,0.992,403,0.875
168,152,592,38,81,40,82,592,38,81,40,82,1,0.875,403,0.875
169,35114,583,50,99,43,69,583,50,99,43,69,1,0.992,200,0.992
170,35114,629,42,112,46,83,629,42,112,46,83,1,0.992,500,0.992
171,35114,598,34,96,44,79,598,34,96,44,79,1,0.992,404,0.992
172,152,622,41,92,40,72,622,41,92,40,72,1,0.992,200,0.992
173,152,586,64,97,47,84,586,64,97,47,84,1,0.875,200,0.992
174,35114,576,52,81,31,96,576,52,81,31,96,1,0.992,200,0.875
175,152,587,64,97,47,84,587,64,97,47,84,1,0.992,200,0.875
176,35114,584,50,99,43,69,584,50,99,43,69,1,0.992,200,0.875
177,152,587,64,98,47,84,587,64,98,47,84,1,0.992,403,0.875
178,152,585,50,99,43,69,585,50,99,43,69,1,0.992,200,0.992
179,152,577,52,81,31,96,577,52,81,31,96,1,0.992,200,0.875
180,152,588,64,98,47,84,588,64,98,47,84,1,0.875,200,0.992
181,35114,623,41,92,40,72,623,41,92,40,72,1,0.875,200,0.992
182,35114,589,64,98,47,84,589,64,98,47,84,1,0.875,200,0.992
183,35114,592,41,69,39,88,592,41,69,39,88,1,0.992,200,0.875
184,35114,578,52,81,31,96,578,52,81,31,96,1,0.875,200,0.992
185,152,599,34,96,44,79,599,34,96,44,79,1,0.875,200,0.875
186,152,593,38,81,40,82,593,38,81,40,82,1,0.992,200,0.992
187,152,590,64,98,47,84,590,64,98,47,84,1,0.992,200,0.992
188,152,591,64,98,47,84,591,64,98,47,84,1,0.875,200,0.875
189,35114,593,41,69,39,88,593,41,69,39,88,1,0.992,200,0.875
190,152,594,41,69,39,88,594,41,69,39,88,1,0.992,200,0.992
191,35114,630,42,112,46,83,630,42,112,46,83,1,0.875,200,0.875
192,152,592,64,98,47,84,592,64,98,47,84,1,0.875,200,0.875
193,35114,586,50,99,43,69,586,50,99,43,69,1,0.992,200,0.875
194,35114,578,34,81,47,75,578,34,81,47,75,1,0.875,500,0.992
195,152,599,34,97,44,79,599,34,97,44,79,1,0.875,403,0.992
196,35114,579,52,81,31,96,579,52,81,31,96,1,0.992,200,0.992
197,152,640,35,100,49,84,640,35,100,49,84,1,0.875,200,0.992
198,152,593,64,98,47,84,593,64,98,47,84,1,0.992,200,0.875
199,35114,594,38,81,40,82,594,38,81,40,82,1,0.875,200,0.875
200,35114,624,41,92,40,72,624,41,92,40,72,1,0.875,200,0.875
201,35114,641,35,100,49,84,641,35,100,49,84,1,0.875,200,0.875
202,152,600,34,97,44,79,600,34,97,44,79,1,0.992,200,0.992
203,152,580,52,81,31,96,580,52,81,31,96,1,0.992,200,0.875
204,35114,555,50,73,44,70,555,50,73,44,70,1,0.875,200,0.992
205,152,587,50,99,43,69,587,50,99,43,69,1,0.875,200,0.992
206,35114,587,51,99,43,69,587,51,99,43,69,1,0.875,302,0.875
207,152,588,51,99,43,69,588,51,99,43,69,1,0.875,200,0.875
208,152,601,34,97,44,79,601,34,97,44,79,1,0.992,200,0.875
209,35114,589,51,99,43,69,589,51,99,43,69,1,0.992,200,0.992
210,152,602,34,97,44,79,602,34,97,44,79,1,0.875,200,0.992
211,152,595,38,81,40,82,595,38,81,40,82,1,0.992,200,0.992
212,35114,602,34,98,44,79,602,34,98,44,79,1,0.875,403,0.875
213,152,593,64,99,47,84,593,64,99,47,84,1,0.992,403,0.992
214,152,631,42,112,46,83,631,42,112,46,83,1,0.875,200,0.992
215,35114,594,64,99,47,84,594,64,99,47,84,1,0.992,200,0.992
216,152,594,64,100,47,84,594,64,100,47,84,1,0.992,403,0.992
217,35114,596,38,81,40,82,596,38,81,40,82,1,0.875,200,0.992
218,152,590,51,99,43,69,590,51,99,43,69,1,0.992,200,0.875
219,152,594,41,69,39,89,594,41,69,39,89,1,0.992,500,0.875
220,35114,579,34,81,47,75,579,34,81,47,75,1,0.875,200,0.875
221,152,591,51,99,43,69,591,51,99,43,69,1,0.992,200,0.875
222,152,592,51,99,43,69,592,51,99,43,69,1,0.992,200,0.992
223,152,580,34,81,47,75,580,34,81,47,75,1,0.875,200,0.992
224,152,581,34,81,47,75,581,34,81,47,75,1,0.875,200,0.875
225,35114,581,52,81,31,96,581,52,81,31,96,1,0.992,200,0.875
226,35114,595,41,69,39,89,595,41,69,39,89,1,0.875,200,0.992
227,35114,625,41,92,40,72,625,41,92,40,72,1,0.992,200,0.992
228,35114,626,41,92,40,72,626,41,92,40,72,1,0.992,200,0.875
229,152,582,52,81,31,96,582,52,81,31,96,1,0.875,200,0.875
230,152,603,34,98,44,79,603,34,98,44,79,1,0.875,200,0.875
231,35114,604,34,98,44,79,604,34,98,44,79,1,0.992,200,0.875
232,35114,594,64,100,48,84,594,64,100,48,84,1,0.992,404,0.875
233,152,582,34,81,47,75,582,34,81,47,75,1,0.992,200,0.875
234,35114,593,51,99,43,69,593,51,99,43,69,1,0.875,200,0.992
235,35114,583,34,81,47,75,583,34,81,47,75,1,0.992,200,0.875
236,35114,574,40,76,38,87,574,40,76,38,87,1,0.875,200,0.992
237,152,642,35,100,49,84,642,35,100,49,84,1,0.992,200,0.875
238,35114,605,34,98,44,79,605,34,98,44,79,1,0.992,200,0.875
239,35114,594,64,100,49,84,594,64,100,49,84,1,0.875,404,0.992
240,152,555,50,73,44,71,555,50,73,44,71,1,0.875,500,0.875
241,35114,556,50,73,44,71,556,50,73,44,71,1,0.992,200,0.875
242,35114,595,64,100,49,84,595,64,100,49,84,1,0.992,200,0.992
243,152,631,42,112,46,84,631,42,112,46,84,1,0.992,500,0.992
244,35114,597,38,81,40,82,597,38,81,40,82,1,0.992,200,0.992
245,35114,596,41,69,39,89,596,41,69,39,89,1,0.992,200,0.992
246,152,632,42,112,46,84,632,42,112,46,84,1,0.875,200,0.992
247,35114,597,41,69,39,89,597,41,69,39,89,1,0.875,200,0.992
248,35114,594,51,99,43,69,594,51,99,43,69,1,0.992,200,0.992
249,152,582,52,82,31,96,582,52,82,31,96,1,0.992,403,0.875
250,35114,583,52,82,31,96,583,52,82,31,96,1,0.992,200,0.992
251,35114,598,41,69,39,89,598,41,69,39,89,1,0.992,200,0.992
252,35114,557,50,73,44,71,557,50,73,44,71,1,0.875,200,0.875
253,152,632,42,112,46,85,632,42,112,46,85,1,0.875,500,0.992
254,35114,599,41,69,39,89,599,41,69,39,89,1,0.992,200,0.875
255,35114,584,52,82,31,96,584,52,82,31,96,1,0.992,200,0.875
256,35114,583,34,82,47,75,583,34,82,47,75,1,0.875,403,0.992
257,35114,595,64,101,49,84,595,64,101,49,84,1,0.875,403,0.992
258,35114,598,38,81,40,82,598,38,81,40,82,1,0.992,200,0.875
259,152,585,52,82,31,96,585,52,82,31,96,1,0.992,200,0.992
260,152,606,34,98,44,79,606,34,98,44,79,1,0.992,200,0.875
261,35114,600,41,69,39,89,600,41,69,39,89,1,0.875,200,0.992
262,35114,643,35,100,49,84,643,35,100,49,84,1,0.992,200,0.992
263,152,633,42,112,46,85,633,42,112,46,85,1,0.992,200,0.992
264,152,583,34,83,47,75,583,34,83,47,75,1,0.992,403,0.875
265,35114,599,38,81,40,82,599,38,81,40,82,1,0.875,200,0.992
266,35114,600,41,69,39,90,600,41,69,39,90,1,0.875,500,0.875
267,35114,583,34,83,47,76,583,34,83,47,76,1,0.992,500,0.992
268,152,627,41,92,40,72,627,41,92,40,72,1,0.992,200,0.992
269,152,586,52,82,31,96,586,52,82,31,96,1,0.992,200,0.992
270,35114,607,34,98,44,79,607,34,98,44,79,1,0.992,200,0.992
271,35114,594,51,100,43,69,594,51,100,43,69,1,0.992,403,0.992
272,35114,601,41,69,39,90,601,41,69,39,90,1,0.992,200,0.992
273,152,584,34,83,47,76,584,34,83,47,76,1,0.875,200,0.875
274,35114,595,64,101,49,85,595,64,101,49,85,1,0.875,500,0.875
275,35114,634,42,112,46,85,634,42,112,46,85,1,0.875,200,0.875
276,35114,628,41,92,40,72,628,41,92,40,72,1,0.875,200,0.992
277,152,629,41,92,40,72,629,41,92,40,72,1,0.875,200,0.992
278,35114,587,52,82,31,96,587,52,82,31,96,1,0.875,200,0.875
279,152,635,42,112,46,85,635,42,112,46,85,1,0.875,200,0.875
280,152,630,41,92,40,72,630,41,92,40,72,1,0.875,200,0.992
281,35114,601,41,70,39,90,601,41,70,39,90,1,0.875,403,0.992
282,35114,558,50,73,44,71,558,50,73,44,71,1,0.875,200,0.992
283,35114,631,41,92,40,72,631,41,92,40,72,1,0.875,200,0.992
284,152,585,34,83,47,76,585,34,83,47,76,1,0.875,200,0.875
285,152,608,34,98,44,79,608,34,98,44,79,1,0.875,200,0.992
286,152,587,52,82,31,97,587,52,82,31,97,1,0.992,500,0.875
287,35114,575,40,76,38,87,575,40,76,38,87,1,0.992,200,0.992
288,35114,596,64,101,49,85,596,64,101,49,85,1,0.875,200,0.875
289,152,586,34,83,47,76,586,34,83,47,76,1,0.992,200,0.875
290,152,587,52,82,32,97,587,52,82,32,97,1,0.992,404,0.992
291,35114,597,64,101,49,85,597,64,101,49,85,1,0.875,200,0.875
292,35114,602,41,70,39,90,602,41,70,39,90,1,0.992,200,0.875
293,35114,636,42,112,46,85,636,42,112,46,85,1,0.992,200,0.875
294,35114,587,34,83,47,76,587,34,83,47,76,1,0.875,200,0.875
295,35114,632,41,92,40,72,632,41,92,40,72,1,0.992,200,0.875
296,152,636,43,112,46,85,636,43,112,46,85,1,0.875,302,0.875
297,35114,588,34,83,47,76,588,34,83,47,76,1,0.992,200,0.992
298,35114,602,41,71,39,90,602,41,71,39,90,1,0.992,403,0.875
299,35114,597,64,102,49,85,597,64,102,49,85,1,0.875,403,0.992
300,152,575,40,77,38,87,575,40,77,38,87,1,0.992,403,0.992
301,152,599,38,81,41,82,599,38,81,41,82,1,0.875,404,0.875
302,35114,559,50,73,44,71,559,50,73,44,71,1,0.992,200,0.992
303,152,608,34,98,45,79,608,34,98,45,79,1,0.992,404,0.992
304,152,632,41,92,40,73,632,41,92,40,73,1,0.875,500,0.992
305,152,576,40,77,38,87,576,40,77,38,87,1,0.992,200,0.992
306,152,598,64,102,49,85,598,64,102,49,85,1,0.992,200,0.992
307,152,637,43,112,46,85,637,43,112,46,85,1,0.992,200,0.875
308,35114,599,38,82,41,82,599,38,82,41,82,1,0.992,403,0.875
309,35114,633,41,92,40,73,633,41,92,40,73,1,0.992,200,0.875
310,35114,559,51,73,44,71,559,51,73,44,71,1,0.992,302,0.875
311,152,600,38,82,41,82,600,38,82,41,82,1,0.875,200,0.992
312,152,560,51,73,44,71,560,51,73,44,71,1,0.875,200,0.875
313,35114,601,38,82,41,82,601,38,82,41,82,1,0.992,200,0.875
314,35114,644,35,100,49,84,644,35,100,49,84,1,0.875,200,0.875
315,152,609,34,98,45,79,609,34,98,45,79,1,0.875,200,0.875
316,152,595,51,100,43,69,595,51,100,43,69,1,0.992,200,0.875
317,152,596,51,100,43,69,596,51,100,43,69,1,0.875,200,0.875
318,152,638,43,112,46,85,638,43,112,46,85,1,0.992,200,0.875
319,35114,599,64,102,49,85,599,64,102,49,85,1,0.875,200,0.875
320,152,560,51,73,44,72,560,51,73,44,72,1,0.992,500,0.875
321,35114,577,40,77,38,87,577,40,77,38,87,1,0.875,200,0.992
322,35114,634,41,92,40,73,634,41,92,40,73,1,0.875,200,0.875
323,152,603,41,71,39,90,603,41,71,39,90,1,0.875,200,0.992
324,152,610,34,98,45,79,610,34,98,45,79,1,0.875,200,0.992
325,152,601,38,82,42,82,601,38,82,42,82,1,0.875,404,0.992
326,35114,599,64,103,49,85,599,64,103,49,85,1,0.875,403,0.992
327,35114,611,34,98,45,79,611,34,98,45,79,1,0.875,200,0.875
328,152,561,51,73,44,72,561,51,73,44,72,1,0.992,200,0.992
329,35114,602,38,82,42,82,602,38,82,42,82,1,0.992,200,0.992
330,152,578,40,77,38,87,578,40,77,38,87,1,0.992,200,0.992
331,35114,612,34,98,45,79,612,34,98,45,79,1,0.875,200,0.992
332,35114,587,52,83,32,97,587,52,83,32,97,1,0.992,403,0.875
333,152,634,41,93,40,73,634,41,93,40,73,1,0.992,403,0.992
334,152,562,51,73,44,72,562,51,73,44,72,1,0.992,200,0.875
335,152,603,38,82,42,82,603,38,82,42,82,1,0.992,200,0.875
336,35114,639,43,112,46,85,639,43,112,46,85,1,0.875,200,0.875
337,152,604,41,71,39,90,604,41,71,39,90,1,0.875,200,0.992
338,152,588,52,83,32,97,588,52,83,32,97,1,0.875,200,0.992
339,35114,604,38,82,42,82,604,38,82,42,82,1,0.875,200,0.992
340,35114,644,35,101,49,84,644,35,101,49,84,1,0.875,403,0.992
341,35114,605,41,71,39,90,605,41,71,39,90,1,0.875,200,0.875
342,152,606,41,71,39,90,606,41,71,39,90,1,0.992,200,0.992
343,152,599,64,104,49,85,599,64,104,49,85,1,0.875,403,0.875
344,152,589,34,83,47,76,589,34,83,47,76,1,0.992,200,0.992
345,35114,607,41,71,39,90,607,41,71,39,90,1,0.992,200,0.992
346,35114,634,42,93,40,73,634,42,93,40,73,1,0.875,302,0.992
347,152,605,38,82,42,82,605,38,82,42,82,1,0.992,200,0.992
348,35114,639,44,112,46,85,639,44,112,46,85,1,0.875,302,0.875
349,35114,578,40,77,38,88,578,40,77,38,88,1,0.875,500,0.875
350,35114,579,40,77,38,88,579,40,77,38,88,1,0.875,200,0.875
351,152,608,41,71,39,90,608,41,71,39,90,1,0.992,200,0.992
352,152,589,34,83,48,76,589,34,83,48,76,1,0.875,404,0.875
353,35114,579,40,78,38,88,579,40,78,38,88,1,0.992,403,0.875
354,35114,589,52,83,32,97,589,52,83,32,97,1,0.875,200,0.875
355,152,613,34,98,45,79,613,34,98,45,79,1,0.875,200,0.875
356,35114,589,52,84,32,97,589,52,84,32,97,1,0.992,403,0.992
357,152,600,64,104,49,85,600,64,104,49,85,1,0.992,200,0.992
358,35114,609,41,71,39,90,609,41,71,39,90,1,0.875,200,0.875
359,152,614,34,98,45,79,614,34,98,45,79,1,0.992,200,0.992
360,35114,645,35,101,49,84,645,35,101,49,84,1,0.875,200,0.992
361,35114,614,34,98,45,80,614,34,98,45,80,1,0.875,500,0.875
362,152,590,34,83,48,76,590,34,83,48,76,1,0.992,200,0.992
363,35114,634,42,94,40,73,634,42,94,40,73,1,0.875,403,0.875
364,35114,563,51,73,44,72,563,51,73,44,72,1,0.992,200,0.875
365,35114,580,40,78,38,88,580,40,78,38,88,1,0.875,200,0.875
366,35114,640,44,112,46,85,640,44,112,46,85,1,0.992,200,0.875
367,35114,646,35,101,49,84,646,35,101,49,84,1,0.992,200,0.875
368,152,597,51,100,43,69,597,51,100,43,69,1,0.875,200,0.992
369,152,598,51,100,43,69,598,51,100,43,69,1,0.875,200,0.875
370,35114,581,40,78,38,88,581,40,78,38,88,1,0.875,200,0.992
371,35114,599,51,100,43,69,599,51,100,43,69,1,0.875,200,0.875
372,35114,615,34,98,45,80,615,34,98,45,80,1,0.875,200,0.992
373,35114,599,51,100,44,69,599,51,100,44,69,1,0.992,404,0.875
374,152,635,42,94,40,73,635,42,94,40,73,1,0.875,200,0.992
375,35114,600,65,104,49,85,600,65,104,49,85,1,0.875,302,0.992
376,152,641,44,112,46,85,641,44,112,46,85,1,0.875,200,0.875
