status,location_speed,httpcode_5m_200,httpcode_5m_302,httpcode_5m_404,httpcode_5m_403,httpcode_5m_500,httpcode_30m_200,httpcode_30m_302,httpcode_30m_404,httpcode_30m_403,httpcode_30m_500,httpcode_1d_200,httpcode_1d_302,httpcode_1d_404,httpcode_1d_403,httpcode_1d_500,body_bytes_sent,upstream_response_time,httpcode_total_200,httpcode_total_302,httpcode_total_404,httpcode_total_403,httpcode_total_500,request_time,lremote_addr,location_city,is_good
404,13133.6311889,5,0,3,0,0,88,2,5,0,0,967,112,64,76,36,35114,0.875,1492,150,94,136,138,0.875,58.60.3.110,深圳市,1
404,83245.304957,5,0,4,0,0,88,2,6,0,0,967,112,65,76,36,35114,0.991999983788,1492,150,95,136,138,0.875,211.142.12.218,城市缺失,1
200,3757.97351841,5,1,0,1,0,45,4,10,1,10,849,58,73,68,57,152,0.991999983788,1217,79,84,98,98,0.991999983788,124.72.93.18,厦门市,1
403,0.0,12,0,0,2,2,65,3,2,2,2,865,44,77,31,59,35114,0.991999983788,1415,59,108,36,109,0.875,218.28.234.21,郑州,1
200,37520.5304681,6,0,4,0,0,89,2,6,0,0,968,112,65,76,36,35114,0.991999983788,1493,150,95,136,138,0.875,211.137.180.198,城市缺失,1
200,68460.7245412,7,0,4,0,0,90,2,6,0,0,969,112,65,76,36,35114,0.991999983788,1494,150,95,136,138,0.991999983788,218.80.192.83,上海,1
200,51516.5519622,7,1,1,0,0,66,3,2,2,2,866,44,77,31,59,152,0.991999983788,1416,59,108,36,109,0.677999973297,219.137.225.57,广州,1
302,130947.637354,7,2,1,0,0,66,4,2,2,2,866,45,77,31,59,152,0.875,1416,60,108,36,109,0.991999983788,116.52.147.144,昆明,1
500,2132.51543606,2,0,0,10,2,17,0,12,10,4,838,81,92,63,25,152,0.991999983788,1375,93,139,91,56,0.875,59.172.76.233,武汉,1
200,4008.50508631,4,0,0,0,0,55,0,0,0,11,917,54,80,30,64,152,0.875,1370,115,119,49,85,0.875,124.72.93.18,厦门市,1
404,5055.81738485,3,0,2,0,0,60,0,4,11,10,778,69,38,51,46,35114,0.660000026226,1240,98,75,82,73,0.875,218.80.192.83,上海,1
404,35859.3649887,7,2,2,0,0,66,4,3,2,2,866,45,78,31,59,152,0.660000026226,1416,60,109,36,109,0.677999973297,58.60.3.110,深圳市,1
404,0.0,32,2,2,0,0,90,2,7,0,0,969,112,66,76,36,152,0.660000026226,1494,150,96,136,138,0.875,218.80.192.83,上海,1
200,0.0,8,2,2,0,0,67,4,3,2,2,867,45,78,31,59,35114,0.660000026226,1417,60,109,36,109,0.677999973297,58.60.3.110,深圳市,1
200,71735.3926131,33,2,2,0,0,91,2,7,0,0,970,112,66,76,36,152,0.660000026226,1495,150,96,136,138,0.875,219.137.225.57,广州,1
200,5116.43597292,13,0,0,0,0,49,0,12,0,0,890,42,44,50,51,35114,0.991999983788,1447,76,78,94,85,0.875,211.142.12.218,城市缺失,1
200,4159.53511168,15,0,0,0,0,58,2,1,1,1,839,81,92,63,25,35114,0.875,1376,93,139,91,56,0.991999983788,211.142.12.218,城市缺失,1
500,2933.8986041,2,0,1,0,2,35,0,2,0,2,864,34,44,41,35,35114,0.660000026226,1438,62,103,90,90,0.875,116.52.147.144,昆明,1
200,15449.1100488,15,0,0,0,2,50,12,0,1,15,971,112,66,76,36,35114,0.991999983788,1496,150,96,136,138,0.991999983788,124.72.93.18,厦门市,1
200,27076.5997673,23,0,0,0,0,74,0,10,3,0,868,45,78,31,59,35114,0.875,1418,60,109,36,109,0.875,218.28.234.21,郑州,1
200,0.0,15,0,0,1,0,74,0,2,2,11,891,42,44,50,51,152,0.660000026226,1448,76,78,94,85,0.875,211.142.12.218,城市缺失,1
200,33276.2808934,16,0,0,1,0,75,0,2,2,11,892,42,44,50,51,152,0.991999983788,1449,76,78,94,85,0.991999983788,59.172.76.233,武汉,1
200,7999.03408648,14,2,0,0,0,56,2,10,2,2,975,48,64,86,68,35114,0.660000026226,1475,55,105,112,97,0.991999983788,219.137.225.57,广州,1
404,39005.9188453,2,0,2,0,2,35,0,3,0,2,864,34,45,41,35,35114,0.875,1438,62,104,90,90,0.991999983788,218.80.192.83,上海,1
403,3752.46605397,1,0,0,2,0,40,0,1,3,0,869,75,32,52,59,35114,0.660000026226,1474,110,65,122,111,0.875,58.60.3.110,深圳市,1
200,25758.2759811,24,0,0,0,0,75,0,10,3,0,869,45,78,31,59,152,0.875,1419,60,109,36,109,0.677999973297,219.137.225.57,广州,1
404,71434.5089733,14,0,2,1,0,40,0,2,3,0,869,75,33,52,59,152,0.875,1474,110,66,122,111,0.677999973297,218.80.192.83,上海,1
200,4822.35736899,24,0,0,0,0,67,0,1,1,0,779,69,38,51,46,152,0.991999983788,1241,98,75,82,73,0.875,59.172.76.233,武汉,1
200,9380.13261703,7,0,0,1,0,59,2,1,1,1,840,81,92,63,25,35114,0.875,1377,93,139,91,56,0.991999983788,211.137.180.198,城市缺失,1
200,19396.7247145,24,0,0,0,0,76,0,2,2,11,893,42,44,50,51,152,0.991999983788,1450,76,78,94,85,0.677999973297,116.52.147.144,昆明,1
200,0.0,12,10,0,0,0,72,11,11,12,2,1009,61,69,69,63,35114,0.875,1451,76,92,84,115,0.677999973297,116.52.147.144,昆明,1
500,8473.46065017,5,0,0,0,2,53,2,13,0,12,917,54,80,30,65,152,0.660000026226,1370,115,119,49,86,0.875,116.52.147.144,昆明,1
200,7954.16901339,15,0,0,0,0,36,0,3,0,2,865,34,45,41,35,35114,0.660000026226,1439,62,104,90,90,0.991999983788,211.142.12.218,城市缺失,1
200,35859.3649887,25,0,0,0,0,77,0,2,2,11,894,42,44,50,51,35114,0.660000026226,1451,76,78,94,85,0.875,58.60.3.110,深圳市,1
403,0.0,14,0,2,2,0,40,0,2,4,0,869,75,33,53,59,35114,0.991999983788,1474,110,66,123,111,0.991999983788,218.80.192.83,上海,1
200,10974.6933917,8,0,0,1,0,60,2,1,1,1,841,81,92,63,25,35114,0.660000026226,1378,93,139,91,56,0.677999973297,218.28.234.21,郑州,1
200,20811.3262393,2,0,1,0,0,37,0,3,0,2,866,34,45,41,35,35114,0.875,1440,62,104,90,90,0.875,58.60.3.110,深圳市,1
200,40614.899651,18,0,2,0,0,78,0,2,2,11,895,42,44,50,51,152,0.875,1452,76,78,94,85,0.677999973297,218.28.234.21,郑州,1
200,133503.464304,19,0,2,0,0,79,0,2,2,11,896,42,44,50,51,152,0.875,1453,76,78,94,85,0.991999983788,202.101.77.237,贵阳,1
404,29254.439134,11,0,14,0,0,53,2,14,0,12,917,54,81,30,65,152,0.875,1370,115,120,49,86,0.677999973297,218.80.192.83,上海,1
200,4366.38774146,4,0,0,0,1,51,12,0,1,15,972,112,66,76,36,35114,0.991999983788,1497,150,96,136,138,0.991999983788,218.80.192.83,上海,1
200,1455.46258049,26,0,10,0,0,53,1,12,11,10,943,49,42,66,40,35114,0.875,1296,81,66,96,79,0.677999973297,124.72.93.18,厦门市,1
200,11292.7540044,4,0,0,0,0,76,0,10,3,0,870,45,78,31,59,35114,0.875,1420,60,109,36,109,0.991999983788,211.137.180.198,城市缺失,1
404,9602.85671775,12,0,2,0,1,60,2,2,1,1,841,81,93,63,25,35114,0.660000026226,1378,93,140,91,56,0.875,211.137.180.198,城市缺失,1
200,18704.1105377,20,0,2,0,0,80,0,2,2,11,897,42,44,50,51,35114,0.660000026226,1454,76,78,94,85,0.677999973297,211.142.12.218,城市缺失,1
200,0.0,13,0,0,0,0,68,0,1,1,0,780,69,38,51,46,152,0.991999983788,1242,98,75,82,73,0.875,59.172.76.233,武汉,1
200,33433.6447246,5,0,0,0,10,54,2,14,0,12,918,54,81,30,65,35114,0.991999983788,1371,115,120,49,86,0.875,116.52.147.144,昆明,1
200,10299.4066992,13,0,2,0,0,54,1,12,11,10,944,49,42,66,40,152,0.660000026226,1297,81,66,96,79,0.677999973297,219.137.225.57,广州,1
500,28056.1658066,1,0,0,1,2,80,0,2,2,12,897,42,44,50,52,152,0.875,1454,76,78,94,86,0.677999973297,202.101.77.237,贵阳,1
200,15941.1983585,5,11,0,0,0,52,12,0,1,15,973,112,66,76,36,152,0.991999983788,1498,150,96,136,138,0.991999983788,219.137.225.57,广州,1
200,13936.4020519,14,0,0,0,0,38,0,3,0,2,867,34,45,41,35,35114,0.991999983788,1441,62,104,90,90,0.875,211.137.180.198,城市缺失,1
200,35893.5924305,6,0,0,0,10,55,2,14,0,12,919,54,81,30,65,152,0.875,1372,115,120,49,86,0.991999983788,218.28.234.21,郑州,1
200,33480.0374187,6,11,0,0,0,53,12,0,1,15,974,112,66,76,36,152,0.875,1499,150,96,136,138,0.991999983788,59.172.76.233,武汉,1
200,81229.799302,7,0,0,0,10,56,2,14,0,12,920,54,81,30,65,35114,0.875,1373,115,120,49,86,0.677999973297,58.60.3.110,深圳市,1
200,1055.98022933,7,2,0,0,0,33,2,0,1,0,850,58,73,68,57,35114,0.875,1218,79,84,98,98,0.875,58.60.3.110,深圳市,1
200,19318.7069858,14,0,2,0,0,55,1,12,11,10,945,49,42,66,40,152,0.660000026226,1298,81,66,96,79,0.875,218.28.234.21,郑州,1
200,3025.11644486,2,0,0,1,0,69,0,1,1,0,781,69,38,51,46,152,0.660000026226,1243,98,75,82,73,0.875,211.142.12.218,城市缺失,1
200,16080.2273435,5,0,0,0,0,39,0,3,0,2,868,34,45,41,35,35114,0.991999983788,1442,62,104,90,90,0.991999983788,211.142.12.218,城市缺失,1
200,6267.72913449,36,0,0,1,0,77,0,10,3,0,871,45,78,31,59,35114,0.875,1421,60,109,36,109,0.875,59.172.76.233,武汉,1
200,7035.09946277,6,0,0,0,0,61,2,2,1,1,842,81,93,63,25,152,0.991999983788,1379,93,140,91,56,0.991999983788,211.142.12.218,城市缺失,1
200,4159.53511168,16,0,0,0,0,54,12,0,1,15,975,112,66,76,36,152,0.991999983788,1500,150,96,136,138,0.875,211.142.12.218,城市缺失,1
200,18481.8004459,37,0,0,1,0,78,0,10,3,0,872,45,78,31,59,152,0.991999983788,1422,60,109,36,109,0.991999983788,218.28.234.21,郑州,1
200,56112.3316132,17,0,0,0,0,55,12,0,1,15,976,112,66,76,36,35114,0.875,1501,150,96,136,138,0.677999973297,202.101.77.237,贵阳,1
200,0.0,38,0,0,1,0,79,0,10,3,0,873,45,78,31,59,35114,0.660000026226,1423,60,109,36,109,0.677999973297,218.28.234.21,郑州,1
403,154549.655887,38,0,0,2,0,79,0,10,4,0,873,45,78,32,59,152,0.875,1423,60,109,37,109,0.875,219.137.225.57,广州,1
200,311.148909194,3,0,10,0,2,57,2,10,2,2,976,48,64,86,68,35114,0.660000026226,1476,55,105,112,97,0.991999983788,58.60.3.110,深圳市,1
200,8824.29942543,2,0,0,0,0,40,0,3,0,2,869,34,45,41,35,35114,0.875,1443,62,104,90,90,0.875,219.137.225.57,广州,1
404,7567.75499609,18,0,2,0,0,69,0,2,1,0,781,69,39,51,46,152,0.875,1243,98,76,82,73,0.677999973297,58.60.3.110,深圳市,1
200,4585.76183247,16,0,0,0,0,81,0,2,2,12,898,42,44,50,52,35114,0.875,1455,76,78,94,86,0.677999973297,219.137.225.57,广州,1
200,26189.5274708,4,0,0,0,0,80,0,10,4,0,874,45,78,32,59,152,0.991999983788,1424,60,109,37,109,0.991999983788,116.52.147.144,昆明,1
403,12194.3517954,0,0,0,2,0,33,2,0,2,0,850,58,73,69,57,152,0.991999983788,1218,79,84,99,98,0.875,211.137.180.198,城市缺失,1
200,7968.74777526,23,0,0,0,0,57,2,14,0,12,921,54,81,30,65,152,0.991999983788,1374,115,120,49,86,0.875,116.52.147.144,昆明,1
200,28573.8035893,19,0,2,0,0,70,0,2,1,0,782,69,39,51,46,35114,0.875,1244,98,76,82,73,0.991999983788,218.80.192.83,上海,1
302,9970.44234179,4,2,0,0,10,55,2,12,11,10,945,50,42,66,40,152,0.991999983788,1298,82,66,96,79,0.677999973297,116.52.147.144,昆明,1
302,0.0,13,2,0,1,2,55,13,0,1,15,976,113,66,76,36,152,0.660000026226,1501,151,96,136,138,0.677999973297,202.101.77.237,贵阳,1
200,105069.049511,14,2,0,1,2,56,13,0,1,15,977,113,66,76,36,35114,0.991999983788,1502,151,96,136,138,0.677999973297,58.60.3.110,深圳市,1
200,17115.1811353,3,0,1,0,0,48,1,1,1,2,783,69,39,51,46,35114,0.991999983788,1245,98,76,82,73,0.875,211.137.180.198,城市缺失,1
200,3340.42090525,23,0,0,0,0,68,0,20,0,2,843,81,93,63,25,152,0.660000026226,1380,93,140,91,56,0.991999983788,124.72.93.18,厦门市,1
200,6179.64401954,6,0,1,0,0,66,11,11,0,1,899,42,44,50,52,35114,0.875,1456,76,78,94,86,0.991999983788,124.72.93.18,厦门市,1
200,0.0,7,0,1,0,0,67,11,11,0,1,900,42,44,50,52,35114,0.875,1457,76,78,94,86,0.677999973297,124.72.93.18,厦门市,1
200,18706.8053363,15,0,0,2,1,65,0,0,33,1,946,50,42,66,40,35114,0.875,1299,82,66,96,79,0.991999983788,219.137.225.57,广州,1
404,0.0,7,0,2,0,0,67,11,12,0,1,900,42,45,50,52,152,0.660000026226,1457,76,79,94,86,0.991999983788,124.72.93.18,厦门市,1
200,77274.8279434,16,0,0,2,1,66,0,0,33,1,947,50,42,66,40,35114,0.660000026226,1300,82,66,96,79,0.991999983788,218.28.234.21,郑州,1
500,7937.1676637,3,0,0,0,2,47,1,0,3,2,976,48,64,86,69,152,0.660000026226,1476,55,105,112,98,0.677999973297,218.80.192.83,上海,1
302,1431.75042241,0,2,2,0,0,53,3,3,1,0,869,76,33,53,59,35114,0.991999983788,1474,111,66,123,111,0.991999983788,211.142.12.218,城市缺失,1
404,12506.8434894,3,0,2,0,0,48,1,2,1,2,783,69,40,51,46,35114,0.991999983788,1245,98,77,82,73,0.875,211.142.12.218,城市缺失,1
